category,name,price,currency,url,collection_date
LEGO City,LEGO 60512 Mountain Bike Adventure Van,33.15,,https://bricksdirect.com/lego-60512-mountain-bike-adventure-van,2026-07-25
LEGO City,LEGO 60511 Vintage Steam Train,85.11,,https://bricksdirect.com/lego-60511-vintage-steam-train,2026-07-25
LEGO City,"LEGO 60510 Advent Calendar 2026, City (Pre order, will be shipped on 01/09/2026)",25.42,,https://bricksdirect.com/lego-60510-advent-calendar-2026-city,2026-07-25
LEGO City,LEGO 60509 Harbor Freight Train with Crane & Truck,121.6,,https://bricksdirect.com/lego-60509-harbor-freight-train-with-crane--truck,2026-07-25
LEGO City,LEGO 60508 Police Train Heist,187.93,,https://bricksdirect.com/lego-60508-police-train-heist,2026-07-25
LEGO City,LEGO 60506 Classic Beach Streetcar,66.32,,https://bricksdirect.com/lego-60506-classic-beach-streetcar,2026-07-25
LEGO City,"LEGO 60505 Airplane, Service Truck & Hovercraft Remix",66.32,,https://bricksdirect.com/lego-60505-airplane-service-truck--hovercraft-remix,2026-07-25
LEGO City,LEGO 60504 Coast Guard Rescue Boat & Helicopter,103.9,,https://bricksdirect.com/lego-60504-coast-guard-rescue-boat--helicopter,2026-07-25
LEGO City,LEGO 60503 Coast Guard Helicopter,56.37,,https://bricksdirect.com/lego-60503-coast-guard-helicopter,2026-07-25
LEGO City,LEGO 60502 Airport with Airplane,110.54,,https://bricksdirect.com/lego-60502-airport-with-airplane,2026-07-25
LEGO City,LEGO 60501 Lava Land Roller Coaster Park,121.6,,https://bricksdirect.com/lego-60501-lava-land-roller-coaster-park,2026-07-25
LEGO City,LEGO 60500 The Van,28.73,,https://bricksdirect.com/lego-60500-the-van,2026-07-25
LEGO Star Wars,LEGO 75535 Han Solo,33.15,,https://bricksdirect.com/lego-75535-han-solo,2026-07-25
LEGO Star Wars,LEGO 75528 Rey,27.63,,https://bricksdirect.com/lego-75528-rey,2026-07-25
LEGO Star Wars,LEGO 75525 Baze Malbus,22.1,,https://bricksdirect.com/lego-75525-baze-malbus,2026-07-25
LEGO Star Wars,LEGO 75524 Chirrut Îmwe,22.1,,https://bricksdirect.com/lego-75524-chirrut-imwe,2026-07-25
LEGO Star Wars,LEGO 75461 Up-Scaled Darth Vader Minifigure,121.6,,https://bricksdirect.com/lego-75461-up-scaled-darth-vader-minifigure,2026-07-25
LEGO Star Wars,LEGO 75460 New Republic X-Wing Starfighter,88.43,,https://bricksdirect.com/lego-75460-new-republic-x-wing-starfighter,2026-07-25
LEGO Star Wars,LEGO 75459 Imperial Lambda-Class Shuttle,176.87,,https://bricksdirect.com/lego-75459-imperial-lambda-class-shuttle,2026-07-25
LEGO Star Wars,LEGO 75458 Imperial Remnant AT-RT Driver Helmet,88.43,,https://bricksdirect.com/lego-75458-imperial-remnant-at-rt-driver-helmet,2026-07-25
LEGO Star Wars,"LEGO 75456 Advent Calendar 2026, Star Wars (Pre order, will be shipped on 01/09/2026)",33.15,,https://bricksdirect.com/lego-75456-advent-calendar-2026-star-wars,2026-07-25
LEGO Star Wars,"LEGO 75455 Boba Fett (Pre order, will be shipped on 01/08/2026)",160.29,,https://bricksdirect.com/lego-75455-boba-fett,2026-07-25
LEGO Star Wars,"LEGO 75454 Imperial Remnant AT-AT with INT-4 (Pre order, will be shipped on 01/08/2026)",150.34,,https://bricksdirect.com/lego-75454-imperial-remnant-at-at-with-int-4,2026-07-25
LEGO Star Wars,"LEGO 75453 Offworld Sandcrawler and Mudhorn (Pre order, will be shipped on 01/08/2026)",187.93,,https://bricksdirect.com/lego-75453-offworld-sandcrawler-and-mudhorn,2026-07-25
LEGO Friends,LEGO 853778 Stephanie’s Pool Pod,11.04,,https://bricksdirect.com/lego-853778-stephanies-pool-pod,2026-07-25
LEGO Friends,LEGO 5005236 Friends Clubhouse,11.04,,https://bricksdirect.com/lego-5005236-friends-clubhouse,2026-07-25
LEGO Friends,LEGO 42705 Cozy Fall Forest Cabin,93.96,,https://bricksdirect.com/lego-42705-cozy-fall-forest-cabin,2026-07-25
LEGO Friends,LEGO 42704 Heartlake City Grand Hotel,141.49,,https://bricksdirect.com/lego-42704-heartlake-city-grand-hotel,2026-07-25
LEGO Friends,LEGO 42703 Mermaid Roller Coaster Ride,93.96,,https://bricksdirect.com/lego-42703-mermaid-roller-coaster-ride,2026-07-25
LEGO Friends,LEGO 42702 Spinning Flower & Fairy Teacup Ride,37.58,,https://bricksdirect.com/lego-42702-spinning-flower--fairy-teacup-ride,2026-07-25
LEGO Friends,LEGO 42701 Koala Habitat & Care Center,82.9,,https://bricksdirect.com/lego-42701-koala-habitat--care-center,2026-07-25
LEGO Friends,LEGO 42700 Candy & Cupcake Ferris Wheel,56.37,,https://bricksdirect.com/lego-42700-candy--cupcake-ferris-wheel,2026-07-25
LEGO Friends,LEGO 42699 Beach House with Seals,55.26,,https://bricksdirect.com/lego-42699-beach-house-with-seals,2026-07-25
LEGO Friends,"LEGO 42698 Advent Calendar 2026, Friends (Pre order, will be shipped on 01/09/2026)",25.42,,https://bricksdirect.com/lego-42698-advent-calendar-2026-friends,2026-07-25
LEGO Friends,LEGO 42697 Creative Dollhouse Suitcase,47.53,,https://bricksdirect.com/lego-42697-creative-dollhouse-suitcase,2026-07-25
LEGO Friends,LEGO 42696 Animal Vet Clinic,28.73,,https://bricksdirect.com/lego-42696-animal-vet-clinic,2026-07-25
