shop,ProductID,name,category,price,url
bricksdirect,60512,LEGO 60512 Mountain Bike Adventure Van,LEGO City,33.23,https://bricksdirect.com/lego-60512-mountain-bike-adventure-van
bricksdirect,60511,LEGO 60511 Vintage Steam Train,LEGO City,85.29,https://bricksdirect.com/lego-60511-vintage-steam-train
bricksdirect,60510,"LEGO 60510 Advent Calendar 2026, City (Pre order, will be shipped on 01/09/2026)",LEGO City,25.47,https://bricksdirect.com/lego-60510-advent-calendar-2026-city
bricksdirect,60509,LEGO 60509 Harbor Freight Train with Crane & Truck,LEGO City,121.85,https://bricksdirect.com/lego-60509-harbor-freight-train-with-crane--truck
bricksdirect,60508,LEGO 60508 Police Train Heist,LEGO City,188.33,https://bricksdirect.com/lego-60508-police-train-heist
bricksdirect,60506,LEGO 60506 Classic Beach Streetcar,LEGO City,66.46,https://bricksdirect.com/lego-60506-classic-beach-streetcar
bricksdirect,60505,"LEGO 60505 Airplane, Service Truck & Hovercraft Remix",LEGO City,66.46,https://bricksdirect.com/lego-60505-airplane-service-truck--hovercraft-remix
bricksdirect,60504,LEGO 60504 Coast Guard Rescue Boat & Helicopter,LEGO City,104.13,https://bricksdirect.com/lego-60504-coast-guard-rescue-boat--helicopter
bricksdirect,60503,LEGO 60503 Coast Guard Helicopter,LEGO City,56.49,https://bricksdirect.com/lego-60503-coast-guard-helicopter
bricksdirect,60502,LEGO 60502 Airport with Airplane,LEGO City,110.78,https://bricksdirect.com/lego-60502-airport-with-airplane
bricksdirect,60501,LEGO 60501 Lava Land Roller Coaster Park,LEGO City,121.85,https://bricksdirect.com/lego-60501-lava-land-roller-coaster-park
bricksdirect,60500,LEGO 60500 The Van,LEGO City,28.79,https://bricksdirect.com/lego-60500-the-van
bricksdirect,60499,LEGO 60499 Airport Fire Truck,LEGO City,77.54,https://bricksdirect.com/lego-60499-airport-fire-truck
bricksdirect,60498,LEGO 60498 Tractor,LEGO City,18.82,https://bricksdirect.com/lego-60498-tractor
bricksdirect,60497,LEGO 60497 Drive-Through Car Wash,LEGO City,52.06,https://bricksdirect.com/lego-60497-drive-through-car-wash
bricksdirect,60496,LEGO 60496 Pizza Delivery Experience with Vehicles,LEGO City,47.63,https://bricksdirect.com/lego-60496-pizza-delivery-experience-with-vehicles
bricksdirect,60495,LEGO 60495 Recycling Truck,LEGO City,60.92,https://bricksdirect.com/lego-60495-recycling-truck
bricksdirect,60494,LEGO 60494 Dump Truck & Front End Loader,LEGO City,112.99,https://bricksdirect.com/lego-60494-dump-truck--front-end-loader
