shop,ProductID,name,category,price,url
JB Spielwaren,75455,LEGO 75455 Boba Fett™,Lego Star Wars,144.49,https://www.jb-spielwaren.de/en/lego-75455-boba-fett/a-648673936/
JB Spielwaren,75454,LEGO 75454 Imperial Remnant AT-AT™ with INT-4,Lego Star Wars,135.99,https://www.jb-spielwaren.de/en/lego-75454-imperial-remnant-at-at-with-int-4/a-75454/
JB Spielwaren,75453,LEGO 75453 Offworld Sandcrawler™ and Mudhorn,Lego Star Wars,169.99,https://www.jb-spielwaren.de/en/lego-75453-offworld-sandcrawler-and-mudhorn/a-75453/
JB Spielwaren,75461,LEGO 75461 Up-Scaled Darth Vader™ Minifigure,Lego Star Wars,99.99,https://www.jb-spielwaren.de/en/lego-75461-up-scaled-darth-vader-minifigure/a-75461/
JB Spielwaren,75458,LEGO 75458 mperial Remnant AT-RT Driver™ Helmet,Lego Star Wars,69.99,https://www.jb-spielwaren.de/en/lego-75458-mperial-remnant-at-rt-driver-helmet/a-75458/
JB Spielwaren,75459,LEGO 75459 Imperial Lambda-Class Shuttle,Lego Star Wars,149.99,https://www.jb-spielwaren.de/en/lego-75459-imperial-lambda-class-shuttle/a-75459/
JB Spielwaren,75456,LEGO 75456 Advent Calendar 2026,Lego Star Wars,29.74,https://www.jb-spielwaren.de/en/lego-75456-advent-calendar-2026/a-75456/
JB Spielwaren,75451,LEGO 75451 Hutt Palace Sentry Droid Showdown,Lego Star Wars,42.49,https://www.jb-spielwaren.de/en/lego-75451-hutt-palace-sentry-droid-showdown/a-75451/
JB Spielwaren,75442,LEGO 75442 The Mandalorian N-1 Starfighter,Lego Star Wars,249.99,https://www.jb-spielwaren.de/en/lego-75442-the-mandalorian-n-1-starfighter/a-75442/
JB Spielwaren,30728,LEGO 30728 The Razor Crest™ Mini-Build,Lego Star Wars,3.19,https://www.jb-spielwaren.de/en/lego-30728-the-razor-crest-mini-build/a-30728/
JB Spielwaren,75445,LEGO 75445 Anzellan Starship,Lego Star Wars,63.74,https://www.jb-spielwaren.de/en/lego-75445-anzellan-starship/a-75445/
JB Spielwaren,75447,LEGO 75447 The Razor Crest™,Lego Star Wars,127.49,https://www.jb-spielwaren.de/en/lego-75447-the-razor-crest/a-75447/
JB Spielwaren,75446,LEGO 75446 Grogu™ (apprenti du Mandalorien),Lego Star Wars,110.49,https://www.jb-spielwaren.de/en/lego-75446-grogu-apprenti-du-mandalorien/a-75446/
JB Spielwaren,75439,LEGO 75439 Darth Vader™ Bust,Lego Star Wars,39.99,https://www.jb-spielwaren.de/en/lego-75439-darth-vader-bust/a-75439/
JB Spielwaren,75438,LEGO 75438 Yoda™ Bust,Lego Star Wars,31.99,https://www.jb-spielwaren.de/en/lego-75438-yoda-bust/a-75438/
JB Spielwaren,75444,LEGO 75444 AT-RT™ Attack,Lego Star Wars,38.24,https://www.jb-spielwaren.de/en/lego-75444-at-rt-attack/a-75444/
JB Spielwaren,75449,LEGO 75449 Siege of Mandalore Battle Pack,Lego Star Wars,16.99,https://www.jb-spielwaren.de/en/lego-75449-siege-of-mandalore-battle-pack/a-75449/
JB Spielwaren,75452,LEGO 75452 The astromech droid BB-8,Lego Star Wars,62.99,https://www.jb-spielwaren.de/en/lego-75452-the-astromech-droid-bb-8/a-75452/
JB Spielwaren,75440,LEGO 75440 AT-AT,Lego Star Wars,55.24,https://www.jb-spielwaren.de/en/lego-75440-at-at/a-75440/
JB Spielwaren,75443,LEGO 75443 Grogu's Homestead,Lego Star Wars,16.99,https://www.jb-spielwaren.de/en/lego-75443-grogu-s-homestead/a-75443/
JB Spielwaren,75448,LEGO 75448 Clone Shock Trooper™ Mech,Lego Star Wars,12.74,https://www.jb-spielwaren.de/en/lego-75448-clone-shock-trooper-mech/a-75448/
JB Spielwaren,75441,LEGO 75441 Venator-Class Attack Cruiser,Lego Star Wars,63.99,https://www.jb-spielwaren.de/en/lego-75441-venator-class-attack-cruiser/a-75441/
JB Spielwaren,75436,LEGO 75436 The Mandalorian & Grogu's Speeder Bike™,Lego Star Wars,8.49,https://www.jb-spielwaren.de/en/lego-75436-the-mandalorian-grogu-s-speeder-bike/a-75436/
JB Spielwaren,75437,LEGO 75437 Cobb Vanth's Speeder,Lego Star Wars,25.49,https://www.jb-spielwaren.de/en/lego-75437-cobb-vanth-s-speeder/a-75437/
JB Spielwaren,75430,LEGO 75430 The Ewok Wicket™,Lego Star Wars,107.99,https://www.jb-spielwaren.de/en/lego-75430-the-ewok-wicket/a-75430/
JB Spielwaren,75419,LEGO 75419 Death Star,Lego Star Wars,999.99,https://www.jb-spielwaren.de/en/lego-75419-death-star/a-75419/
JB Spielwaren,40771,LEGO 40771 TIE Fighter with Imperial Hangar Rack,Lego Star Wars,159.99,https://www.jb-spielwaren.de/en/lego-40771-tie-fighter-with-imperial-hangar-rack/a-40771/
JB Spielwaren,75432,LEGO 75432 V-19 Torrent Starfighter,Lego Star Wars,45.0,https://www.jb-spielwaren.de/en/lego-75432-v-19-torrent-starfighter/a-75432/
JB Spielwaren,42698,LEGO 42698 Advent Calendar 2026,Lego Friends,22.94,https://www.jb-spielwaren.de/en/lego-42698-advent-calendar-2026/a-42698/
JB Spielwaren,42705,LEGO 42705 Cozy Fall Forest Cabin,Lego Friends,84.99,https://www.jb-spielwaren.de/en/lego-42705-cozy-fall-forest-cabin/a-42705/
JB Spielwaren,42703,LEGO 42703 Mermaid Roller Coaster Ride,Lego Friends,84.99,https://www.jb-spielwaren.de/en/lego-42703-mermaid-roller-coaster-ride/a-42703/
JB Spielwaren,42702,LEGO 42702 Spinning Flower & Fairy Teacup Ride,Lego Friends,33.99,https://www.jb-spielwaren.de/en/lego-42702-spinning-flower-fairy-teacup-ride/a-42702/
JB Spielwaren,42704,LEGO 42704 Heartlake City Grand Hotel,Lego Friends,127.49,https://www.jb-spielwaren.de/en/lego-42704-heartlake-city-grand-hotel/a-42704/
